job title,company name,location,skills,links
Python Developer,Sceel.io -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Python · backend · Information Technology (IT) · JSON · Computer Science · Automation · Software Development,/jobs/p/xvFGmf1AZPjq-Python-Developer-Sceel-io-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpd
Python Developer,Multi Level Group (MLG) -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Engineering · Git · Information Technology (IT) · OOP · PHP · Programming · Software Development,/jobs/p/NEuzz9ILgVlu-Python-Developer-Multi-Level-Group-MLG-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpd
Full stack python web developer,Micro Engineering -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Engineering · Software Development · JavaScript · Information Technology (IT) · HTML · PHP,/jobs/p/4Rntdd47fQxc-Full-stack-python-web-developer-Micro-Engineering-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpd
Junior Python Developer,RDI -,"Dokki, Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · SQL · MySQL · RESTful · JavaScript · Django · Flask · Docker,/jobs/p/y5wCFFafk4r5-Junior-Python-Developer-RDI-Giza-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpd
Senior Odoo & Python Developer,Ulemt -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · PostgreSQL · CSS · HTML · Engineering · Computer Science · Linux · Python · Software Development · Odoo,/jobs/p/PzqywNmk5NoT-Senior-Odoo-Python-Developer-Ulemt-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpd
Senior Java/ Scala Backend Developer with Python experience- Remote Full,GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Java · Scala · SQL · Thrift · Django · Python · Flask · Web Development · Software Development,/jobs/p/Tx5jCbrPStr7-Senior-Java-Scala-Backend-Developer-with-Python-experience--Remote-Full-GetTechForce-com-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpd
Senior Python Developer,"Nile Bits, LLC -","6th of October, Giza, Egypt ",Full TimeWork From HomeExperienced · 4 - 10 Yrs of Exp · IT/Software Development · JavaScript · Python · Software Engineering · Git,/jobs/p/OoSMRRQb4TJH-Senior-Python-Developer-Nile-Bits-LLC-Giza-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpd
Senior Python / Django Developer,RDI -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · MySQL · GIT · Docker · javaScript · Angular · RESTful APIs,/jobs/p/TwP70uDSHo9g-Senior-Python-Django-Developer-RDI-Giza-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpd
"Full Stack Developer - ""Python""",Dafater -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Agile · CSS · HTML5 · Information Technology (IT) · Python · React,/jobs/p/U9r4aIBTjLRK-Full-Stack-Developer---Python-Dafater-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpd
Frontend Software Engineer,Confidential -,"Madinaty, Cairo, Egypt ",Full TimePart TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · React · CSS · HTML · JavaScript · Python · Design · Software Development,/jobs/p/TdIBE1LYqhRy-Frontend-Software-Engineer-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpd
Senior odoo developer,ERP-Bank -,"Sidi Gaber, Alexandria, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Development · Software Engineering · Python · JavaScript · XML · CSS · Computer Science · HTML · Software Development,/jobs/p/Hp4OXojoDyEm-Senior-odoo-developer-ERP-Bank-Alexandria-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpd
"Senior Full-Stack Developer(Nodejs, Vuejs)",Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · MySQL · Node.js · PHP · Programming · Python · Software Development,/jobs/p/YykkhRmmVvLI-Senior-Full-Stack-DeveloperNodejs-Vuejs-Seoudi-Supermarket-Giza-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpd
DevOps Engineer,Softec Technologies -,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · DevOps · Information Technology (IT) · Java · Software Development · Unix · Azure · Engineering · Docker,/jobs/p/GEGRNJiZHjVp-DevOps-Engineer-Softec-Technologies-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpd
Senior .NET Full Stack Developer (.NET Core & Angular),Lumin -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ASP.NET · ADO.NET · C#.Net · .NET · .NEt Full Stack Developer · Full Stack Developer · java · Python,/jobs/p/koMwOU35r9me-Senior-NET-Full-Stack-Developer-NET-Core-Angular-Lumin-Giza-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpd
Robotics & STEAM Instructor (for Kids),Edu-Zone -,"Cairo, Egypt ",Full TimePart TimeEntry Level · 0 - 3 Yrs of Exp · Engineering - Mechanical/Electrical · Education/Teaching · Training/Instructor · Arduino · 3D Printing · Instructor · Education · Programming · Mechanical · Robotics,/jobs/p/zxjH2PxHh1Mq-Robotics-STEAM-Instructor-for-Kids-Edu-Zone-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpd
